run,device,subject,browser,plt
1,nexus5x,berlinomagazine-com-noremovepreload,chrome,8190
1,nexus5x,beegru-com-removepreload,chrome,11079
1,nexus5x,dji-com-noremovepreload,chrome,5191
1,nexus5x,ict-moscow-removepreload,chrome,9619
1,nexus5x,traineracademy-org-noremovepreload,chrome,4993
1,nexus5x,parsely-com-removepreload,chrome,7698
1,nexus5x,africafreak-com-noremovepreload,chrome,6906
1,nexus5x,blistex-com-removepreload,chrome,4240
1,nexus5x,ladbible-com-noremovepreload,chrome,19484
1,nexus5x,musicgreatness-com-removepreload,chrome,5937
1,nexus5x,affirm-com-noremovepreload,chrome,14052
1,nexus5x,agriwebb-com-removepreload,chrome,48104
1,nexus5x,fitchratings-ru-noremovepreload,chrome,11379
1,nexus5x,squareinternet-co-noremovepreload,chrome,7273
2,nexus5x,berlinomagazine-com-noremovepreload,chrome,8876
2,nexus5x,beegru-com-removepreload,chrome,11335
1,nexus5x,lisakristine-com-removepreload,chrome,9604
1,nexus5x,animoto-com-removepreload,chrome,3366
1,nexus5x,cbc-ca-noremovepreload,chrome,16282
1,nexus5x,schmoozecom-com-noremovepreload,chrome,7005
1,nexus5x,unilad-co-uk-removepreload,chrome,17843
1,nexus5x,fastcodesign-com-noremovepreload,chrome,46815
1,nexus5x,trustpilot-com-removepreload,chrome,5474
2,nexus5x,musicgreatness-com-removepreload,chrome,6134
1,nexus5x,unclesamsmisguidedchildren-com-noremovepreload,chrome,8945
1,nexus5x,coindesk-com-noremovepreload,chrome,9272
1,nexus5x,ict-moscow-noremovepreload,chrome,8932
1,nexus5x,veronicatv-nl-noremovepreload,chrome,6943
2,nexus5x,blistex-com-removepreload,chrome,5544
1,nexus5x,infobunny-com-noremovepreload,chrome,16462
2,nexus5x,parsely-com-removepreload,chrome,7796
1,nexus5x,ingenieriareal-com-removepreload,chrome,3326
2,nexus5x,unclesamsmisguidedchildren-com-noremovepreload,chrome,12274
1,nexus5x,squareinternet-co-removepreload,chrome,5183
1,nexus5x,bensonbingham-com-removepreload,chrome,6695
1,nexus5x,traineracademy-org-removepreload,chrome,6377
1,nexus5x,noshift-com-noremovepreload,chrome,5117
1,nexus5x,scmp-com-removepreload,chrome,54060
2,nexus5x,affirm-com-noremovepreload,chrome,12295
2,nexus5x,trustpilot-com-removepreload,chrome,5485
1,nexus5x,jisr-net-removepreload,chrome,9117
1,nexus5x,theodysseyonline-com-removepreload,chrome,6295
1,nexus5x,sedanmed-ir-noremovepreload,chrome,5907
1,nexus5x,g-talent-net-noremovepreload,chrome,19902
1,nexus5x,newsbreak-com-removepreload,chrome,6218
2,nexus5x,sedanmed-ir-noremovepreload,chrome,5673
2,nexus5x,unilad-co-uk-removepreload,chrome,25959
1,nexus5x,jisr-net-noremovepreload,chrome,8471
