run,device,subject,browser,plt
1,nexus5x,dallasnews-com-removehints,chrome,19374
1,nexus5x,dallasnews-com-noremovehints,chrome,22568
1,nexus5x,dictionary-com-removehints,chrome,7608
1,nexus5x,variety-com-noremovehints,chrome,8503
1,nexus5x,variety-com-removehints,chrome,7779
1,nexus5x,simplylakita-com-noremovehints,chrome,3160
1,nexus5x,skynewsarabia-com-noremovehints,chrome,11517
1,nexus5x,gardeninglovy-com-noremovehints,chrome,6592
1,nexus5x,multimetertools-com-noremovehints,chrome,4261
1,nexus5x,marketwatch-com-removehints,chrome,8633
1,nexus5x,vivahr-com-removehints,chrome,1899
1,nexus5x,nationalreview-com-removehints,chrome,15096
1,nexus5x,creativebloq-com-noremovehints,chrome,8685
1,nexus5x,marketwatch-com-noremovehints,chrome,9657
1,nexus5x,lululemon-com-removehints,chrome,12285
1,nexus5x,express-co-uk-noremovehints,chrome,9457
1,nexus5x,creativebloq-com-removehints,chrome,5457
1,nexus5x,crawleynews-co-uk-noremovehints,chrome,12895
2,nexus5x,dallasnews-com-noremovehints,chrome,29112
1,nexus5x,therecipespk-com-noremovehints,chrome,4734
1,nexus5x,opumo-net-noremovehints,chrome,8530
1,nexus5x,manchestereveningnews-co-uk-removehints,chrome,16473
1,nexus5x,tnscolaire-com-removehints,chrome,3611
1,nexus5x,iamvenezuela-com-noremovehints,chrome,8626
1,nexus5x,braunshop-co-uk-noremovehints,chrome,3908
1,nexus5x,freeagent-com-noremovehints,chrome,6525
1,nexus5x,thefreelancemovement-com-removehints,chrome,5858
2,nexus5x,nationalreview-com-removehints,chrome,28658
2,nexus5x,thefreelancemovement-com-removehints,chrome,6008
1,nexus5x,writeawriting-com-removehints,chrome,6778
1,nexus5x,therecipespk-com-removehints,chrome,3094
2,nexus5x,crawleynews-co-uk-noremovehints,chrome,11301
1,nexus5x,tebasnan-com-noremovehints,chrome,7014
2,nexus5x,express-co-uk-noremovehints,chrome,7775
2,nexus5x,gardeninglovy-com-noremovehints,chrome,6357
1,nexus5x,nwsource-com-removehints,chrome,10833
