                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Sends POST Request,Nr dns_prefetches scraped,Nr dns_prefetches proxy,Nr preconnects scraped,Nr preconnects proxy,Removes resource hints,Works after removal,Included,Notes,,
mommysnippets.com,NA,4,1,12,0,NA,NA,No,Nr of resource hints doesnt match.,,
accesspressthemes.com,NA,16,3,2,0,NA,NA,No,Nr of resource hints differs too much.,,
tuha.vn,Sends multiple POST requests,19,19,0,0,NA,NA,No,Sends multiple POST requests,,
mirror.co.uk,No,9,9,9,9,Yes,Yes,No,Does not work with our mitmproxy,,
olympic.org,No,0,NA,17,NA,NA,NA,No,Breaks proxy,,
rockcontent.com,NA,22,11,0,0,NA,NA,No,Nr of resource hints do not match.,,
oeco.com.br,NA,18,Na,1,NA,NA,NA,No,Website is broken. Not because of resource hint removal but by default.,,
searchenginejournal.com,NA,3,1,31,2,NA,NA,No,Nr of resource hints differs too much.,,
best-microcontroller-projects.com,Yes,7,7,13,9,NA,NA,No,Difference in nr of resource hints is too big.,,
axomjobs.in,Yes,6,9,13,17,Yes,Yes,No,Breaks proxy,,
dailymail.co.uk,Yes,7,7,21,20,Yes,Yes,No,Is stuck in endloos load loop,,
arbdk.info,Yes,19,19,0,0,Yes,Yes,No,Breaks proxy,,Second selection
complex.com	,,12,10,8,5,,,No,Difference is too big,,
planetxbox360.com ,,12,,8,,,,No,Redirects to website above,,
gamestop.com,,0,0,45,45,,,No,Crashes mitmproxy,,
pro-vigil.com,,57,2,1,1,,,No,Too big difference in nr of resource hints,,
india.com,,24,20,24,20,,,No,Too big difference,,
estadao.com.br	,,,,,,,,No,Crashes mitmproxy,,
palagrit.com,Yes,27,25,0,0,Yes,Yes,Yes,Small difference in nr of resource hints.,,
dell.com,Yes,11,11,11,11,Yes,Yes,Yes,x-dns-prefetch-control,,
foundationfairy.com,Yes,12,12,14,16,Yes,Yes,Yes,"x-dns-prefetch-control"" Small difference in nr of resource hints",,
writeawriting.com,Yes,15,17,2,2,Yes,Yes,Yes,x-dns-prefetch-control Small difference in nr of resource hints,,
lululemon.com,Yes,13,14,13,14,Yes,Yes,Yes,Small difference in nr of resource hints.,,
braunshop.co.uk,Yes,16,16,3,3,Yes,Yes,Yes,,,
berlinomagazine.com,NA,8,8,14,14,Yes,Yes,Yes,,,
thefreelancemovement.com,Yes,59,59,1,1,Yes,Yes,Yes,,,
westernunion.com,Yes,0,0,18,18,Yes,Yes,Yes,,,
home.pl,Yes,19,19,1,1,yes,Yes,Yes,,,
teleseryeonline.su,Yes,62,62,1,1,Yes,Yes,Yes,,,
tebasnan.com,Yes,21,21,0,0,Yes,Yes,Yes,,,
manchestereveningnews.co.uk,Yes,9,9,9,9,Yes,Yes,Yes,Took long first time?,,
iamvenezuela.com,Yes,39,39,0,0,Yes,Yes,Yes,,,
opumo.net,Yes,1,1,43,43,Yes,Yes,Yes,Redirects us to opumo.com,,
gardeninglovy.com,Yes,9,9,11,11,Yes,Yes,Yes,,,
ecomputertips.com,Yes,9,10,7,7,,Yes,Yes,,,
jezebel.com,Yes,19,19,4,5,Yes,Yes,Yes,,,
multimetertools.com,Yes,31,31,1,1,Yes,Yes,Yes,,,
nationalreview.com,Yes,40,40,4,4,Yes,Yes,Yes,,,
crawleynews.co.uk,Yes,8,8,8,8,Yes,Yes,Yes,Redirects to https://www.kentlive.news/news/sussex-news/,,
creativebloq.com,Yes,15,15,0,0,Yes,Yes,Yes,,,
dictionary.com,Yes,10,10,8,8,Yes,Yes,Yes,,,
therecipespk.com,Yes,54,54,1,1,Yes,Yes,Yes,,,
ncaa.com,Yes,13,13,9,9,Yes,Yes,Yes,,,
caribbean-beat.com,Yes,48,48,0,0,Yes,Yes,Yes,,,
dallasnews.com,Yes,30,30,21,21,Yes,Yes,Yes,,,
beautydea.it,Yes,60,60,1,1,Yes,Yes,Yes,,,
simplylakita.com,Yes,31,31,0,0,Yes,Yes,Yes,,,
express.co.uk,Yes,43,43,0,0,Yes,Yes,Yes,,,
vivahr.com,Yes,47,47,0,0,Yes,Yes,Yes,,,
stern.de,Yes,0,0,17,17,Yes,Yes,Yes,,,Second selection
skynewsarabia.com,Yes,0,0,19,19,Yes,Yes,Yes,,,Second selection
timesofmalta.com,Yes,9,9,9,9,Yes,Yes,Yes,,,Second selection
gettersiida.net,Yes,7,7,8,8,Yes,Yes,Yes,,,Second selection
nwsource.com,Yes,22,22,0,0,Yes,Yes,Yes,Redirects to seattletimes.com,,Second selection
marketwatch.com,Yes,20,20,0,0,Yes,Yes,Yes,,,Third selection
variety.com        ,Yes,45,45,1,1,Yes,Yes,Yes,,,
tnscolaire.com,Yes,55,55,1,1,Yes,Yes,Yes,,,
freeagent.com,yes,0,0,16,16,Yes,Yes,Yes,,,
,,,,,,,,,,,
,,,,,,,,,,,
2 New items,,,,,,,,,,,
,,,,,,,,,,,
2 New items again,,,,,,,,,,,
,,,,,,,,,,,
themoneyninja.com,,,,,,,,,502 bad gateaway,,
globaltechgadgets.com,,,,,,,,,Crashes mitmproxy,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Dailymail is not working..,,,,,,,,,,,
